species,individual,sample,measure,data,hour,time_minutes,weight_g,temp_C,humid_perc,area_moist_cm2,area_dry_cm2,atmospheric_pressure
C_distishoclata,5,1,9,01_mai_2024,18:55:00,140,0.0307,24.5,57,NA,NA,87.23
C_distishoclata,5,1,10,01_mai_2024,19:15:00,160,0.0305,24.4,59,NA,NA,87.23
C_distishoclata,5,1,11,01_mai_2024,19:35:00,180,0.03,24.4,60,NA,NA,87.23
C_distishoclata,6,1,2,01_mai_2024,16:35:00,0,0.0275,25.3,56,1.009,NA,87.23
C_distishoclata,6,1,3,01_mai_2024,16:55:00,20,0.0266,25.2,56,NA,NA,87.23
C_distishoclata,6,1,4,01_mai_2024,17:15:00,40,0.0264,25,56,NA,NA,87.23
C_distishoclata,6,1,5,01_mai_2024,17:35:00,60,0.0261,24.9,56,NA,NA,87.23
C_distishoclata,6,1,6,01_mai_2024,17:55:00,80,0.0257,24.8,56,NA,NA,87.23
C_distishoclata,6,1,7,01_mai_2024,18:15:00,100,0.0252,24.8,57,NA,NA,87.23
C_distishoclata,6,1,8,01_mai_2024,18:35:00,120,0.0247,24.7,57,NA,NA,87.23
C_distishoclata,6,1,9,01_mai_2024,18:55:00,140,0.0244,24.5,57,NA,NA,87.23
C_distishoclata,6,1,10,01_mai_2024,19:15:00,160,0.0242,24.4,59,NA,NA,87.23
C_distishoclata,6,1,11,01_mai_2024,19:35:00,180,0.0238,24.4,60,NA,NA,87.23
